,Media Source,Tweet,Date & Time (UTC),Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
28,@BBCWorld,"RT @BBCSport: England are 45 minutes away from a #WorldCup final.

This is it. #ENGCRO is back underway...

LIVE:
📱 https://t.co/NE6Uhqrvz6…",Wed Jul 11 19:04:08 +0000 2018,0,0,0,1,29
29,@BBCWorld,"RT @BBCSport: HT: #CRO 0-1 #ENG 

So far, so good for England!

Kieran Trippier's beauty of a free-kick separates the sides.

LIVE:
📱 https…",Wed Jul 11 18:46:46 +0000 2018,0.8467,0.271,0,0.729,30
30,@BBCWorld,All 11 people on board plane rescued after crash in Alaska https://t.co/oSZtRhC084,Wed Jul 11 18:28:12 +0000 2018,0.0258,0.181,0.174,0.645,31
31,@BBCWorld,"RT @BBCSport: GOAL!

What a start! What a goal!

Kieran Trippier whips a free-kick right in! 

#CRO 0-1 #ENG 

LIVE: 
📱 https://t.co/C5GtYW…",Wed Jul 11 18:06:26 +0000 2018,0,0,0,1,32
32,@BBCWorld,"RT @BBCSport: IT'S TIME!

England's first #WorldCup semi-final since 1990 is underway! ⚽

LIVE: 
📱 https://t.co/NE6Uhqrvz6 
📻 @5liveSport…",Wed Jul 11 18:00:29 +0000 2018,0,0,0,1,33
33,@BBCWorld,Uganda social media tax to be reviewed https://t.co/Plvfn9IiD8,Wed Jul 11 17:42:26 +0000 2018,0,0,0,1,34
34,@BBCWorld,Joking German minister Seehofer urged to quit as Afghan deportee dies https://t.co/MKLvzdapL7,Wed Jul 11 17:22:28 +0000 2018,0.2263,0.147,0,0.853,35
35,@BBCWorld,NYC Mayor de Blasio denies illegally crossing US-Mexico border https://t.co/PR3021b84C,Wed Jul 11 17:20:02 +0000 2018,-0.4215,0,0.237,0.763,36
36,@BBCWorld,"Santiago unveils street art for blind people that everyone can 'see' 🎨

https://t.co/CSl5Pqw4DD https://t.co/ktqdKCe0d3",Wed Jul 11 16:43:33 +0000 2018,-0.4019,0,0.162,0.838,37
37,@BBCWorld,Drug company lawsuit could stall Nevada execution https://t.co/t1abkIhbCB,Wed Jul 11 16:33:51 +0000 2018,-0.4019,0,0.381,0.619,38
38,@BBCWorld,"RT @BBCSport: The defending champion is OUT.

Roger Federer is beaten in the quarter-finals at Wimbledon by eighth seed Kevin Anderson.

Re…",Wed Jul 11 16:27:36 +0000 2018,0.2732,0.146,0.105,0.749,39
39,@BBCWorld,Adnan Oktar: Turkish TV cleric arrested on fraud and abuse charges https://t.co/VLHUrvw35a,Wed Jul 11 16:21:39 +0000 2018,-0.9217,0,0.623,0.377,40
40,@BBCWorld,World Cup 2018: Brussels metro commuters endure French team's anthem https://t.co/QXuWkhKgGz,Wed Jul 11 16:16:48 +0000 2018,0,0,0,1,41
